Designator,Footprint,Quantity,Value,LCSC Part #
C10,0201,1,2.2nF/25V,
C11,0201,1,0.1uF/10V,
"C6, C7, C8",0201,3,10uF/10V,
C9,0201,1,1uF/10V,
D1,D_SOD-323,1,BAT60A,
D6,0201,1,LED_WHT,
D7,0201,1,LED_R,
D8,0201,1,LED_G,
D9,0201,1,LED_B,
"J1, J6",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"J11, J16, J21, J4",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,4,Conn_2,
J23,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,
"R10, R11, R18, R19, R20, R8, R9",0201,7,10K/1%,
R14,0201,1,47.5K/1%,
"R15, R16",0201,2,82K/1%,
"R21, R22, R23, R24",0201,4,1.5K/1%,
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
U5,AP2112K-3.3TRG1,1,AP2112K-3.3TRG1,
U6,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
