Designator,Mid X,Mid Y,Rotation,Layer
C10,210.755,-98.3,0.0,top
C11,220.371344,-98.533577,180.0,top
C6,211.791344,-114.233577,0.0,top
C7,220.63,-109.75,180.0,top
C8,208.646344,-117.033577,0.0,top
C9,208.555,-115.05,0.0,top
D1,218.591344,-112.333577,270.0,top
D6,197.446344,-104.833577,0.0,top
D7,197.471344,-98.933577,0.0,top
D8,197.471344,-100.833577,0.0,top
D9,197.446344,-102.833577,0.0,top
J1,226.621344,-97.043577,0.0,top
J11,233.6161164764832,-82.61611647648319,225.0,bottom
J16,233.6161165235168,-117.13388347648318,315.0,bottom
J21,198.8081475235168,-116.94185252351681,45.0,bottom
J23,215.640344,-116.5,180.0,top
J4,198.80814747648319,-82.55814752351682,135.0,bottom
J6,206.221344,-97.043577,0.0,top
Q1,198.928844,-91.033577,0.0,top
Q2,233.253844,-90.833577,180.0,top
Q3,231.941344,-108.471077,90.0,top
Q4,199.25,-110.75,90.0,top
R10,231.971344,-105.833577,180.0,top
R11,199.305,-108.3875,180.0,top
R14,200.871344,-97.183577,180.0,top
R15,198.686344,-97.033577,180.0,top
R16,216.071344,-108.933577,180.0,top
R18,219.736344,-96.633577,180.0,top
R19,219.771344,-102.333577,180.0,top
R20,219.811344,-100.933577,180.0,top
R21,199.271344,-106.433577,180.0,top
R22,199.271344,-99.433577,180.0,top
R23,199.246344,-101.933577,180.0,top
R24,199.271344,-103.933577,180.0,top
R8,202.0,-90.345,90.0,top
R9,230.316344,-90.783577,270.0,top
U1,217.091344,-96.833577,0.0,top
U5,212.676344,-111.183577,180.0,top
U6,215.091344,-99.333577,90.0,top
