Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,SW1,SW_SPST_B3U-1000P,1,SW_Push,
2,R1,R_0201_0603Metric,1,10K/5%,
3,"C7,C6,C8",C_0603_1608Metric,3,10uF/10V,
4,D9,LED_0201_0603Metric,1,LED_B,
5,"Q3,Q1,Q2,Q4",SOT-23,4,AO3400A,
6,"R9,R10,R8,R11",R_0201_0603Metric,4,10K/1%,
7,R14,R_0402_1005Metric,1,47.5K/1%,
8,C9,C_0201_0603Metric,1,1uF/10V,
10,D1,D_SOD-323,1,BAT60A,
11,"R16,R15",R_0603_1608Metric,2,82K/1%,
12,J23,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
13,R22,R_0201_0603Metric,1,270/1%,
14,"J1,J6",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
15,R24,R_0201_0603Metric,1,68/1%,
16,J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
17,R23,R_0201_0603Metric,1,82/1%,
18,D8,LED_0201_0603Metric,1,LED_G,
19,R21,R_0201_0603Metric,1,150/1%,
20,D6,LED_0201_0603Metric,1,LED_WHT,
21,D7,LED_0201_0603Metric,1,LED_R,
22,U5,AP2112K-3.3TRG1,1,AP2112K-3.3TRG1,
23,"J4,J11,J16,J21",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,4,Conn_2,
