"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C7,C6,C8";"C_0201_0603Metric";3;"10uF/10V";;;
2;"D9";"LED_0201_0603Metric";1;"LED_B";;;
3;"Q3,Q1,Q2,Q4";"SOT-23";4;"AO3400A";;;
4;"R9,R10,R8,R11";"R_0201_0603Metric";4;"10K/1%";;;
5;"R14";"R_0201_0603Metric";1;"47.5K/1%";;;
6;"C9";"C_0201_0603Metric";1;"1uF/10V";;;
7;"U1";"ESP32-S2-MINI-1";1;"ESP32-S3-MINI-1";;;
8;"D1";"D_SOD-323";1;"BAT60A";;;
9;"R16,R15";"R_0201_0603Metric";2;"82K/1%";;;
10;"J23";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02_Pin";;;
11;"R22,R24,R23,R21";"R_0201_0603Metric";4;"1.5K/1%";;;
12;"J1,J6";"PinSocket_2x08_P2.54mm_Vertical";2;"Conn_02x08_Odd_Even";;;
13;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
14;"D8";"LED_0201_0603Metric";1;"LED_G";;;
15;"D6";"LED_0201_0603Metric";1;"LED_WHT";;;
16;"D7";"LED_0201_0603Metric";1;"LED_R";;;
17;"U5";"AP2112K-3.3TRG1";1;"AP2112K-3.3TRG1";;;
18;"J4,J11,J16,J21";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";4;"Conn_2";;;
