Ref,Val,Package,PosX,PosY,Rot,Side
"J4","Conn_2","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",83.440000,-76.945000,45.000000,bottom
"J11","Conn_2","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",120.752233,-74.802233,-45.000000,bottom
"J16","Conn_2","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",85.720000,-114.360000,135.000000,bottom
"J21","Conn_2","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",122.850000,-112.210000,-135.000000,bottom
"C6","10uF/10V","C_0201_0603Metric",88.670000,-106.005000,90.000000,top
"C7","10uF/10V","C_0201_0603Metric",90.320000,-106.235000,90.000000,top
"C8","10uF/10V","C_0201_0603Metric",98.210000,-99.070000,180.000000,top
"C9","1uF/10V","C_0201_0603Metric",97.220000,-100.570000,180.000000,top
"D1","BAT60A","D_SOD-323",92.200000,-101.407500,-90.000000,top
"D6","LED_WHT","LED_0201_0603Metric",123.930000,-85.455000,90.000000,top
"D7","LED_R","LED_0201_0603Metric",123.940000,-88.115000,90.000000,top
"D8","LED_G","LED_0201_0603Metric",123.910000,-90.845000,90.000000,top
"D9","LED_B","LED_0201_0603Metric",123.950000,-93.465000,90.000000,top
"J1","Conn_02x08_Odd_Even","PinSocket_2x08_P2.54mm_Vertical",114.680000,-77.125000,0.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",94.110000,-113.825000,90.000000,top
"J6","Conn_02x08_Odd_Even","PinSocket_2x08_P2.54mm_Vertical",94.280000,-77.125000,0.000000,top
"J23","Conn_01x02_Pin","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",88.290000,-101.115000,-90.000000,top
"Q1","AO3400A","SOT-23",86.440000,-82.535000,180.000000,top
"Q2","AO3400A","SOT-23",119.137500,-81.235000,0.000000,top
"Q3","AO3400A","SOT-23",91.362500,-110.145000,180.000000,top
"Q4","AO3400A","SOT-23",115.810000,-109.277500,-90.000000,top
"R8","10K/1%","R_0201_0603Metric",89.200000,-82.085000,0.000000,top
"R9","10K/1%","R_0201_0603Metric",117.555000,-83.435000,0.000000,top
"R10","10K/1%","R_0201_0603Metric",95.580000,-110.840000,0.000000,top
"R11","10K/1%","R_0201_0603Metric",119.830000,-105.605000,0.000000,top
"R14","47.5K/1%","R_0201_0603Metric",87.760000,-87.645000,0.000000,top
"R15","82K/1%","R_0201_0603Metric",84.830000,-87.665000,180.000000,top
"R16","82K/1%","R_0201_0603Metric",91.620000,-106.160000,-90.000000,top
"R21","1.5K/1%","R_0201_0603Metric",121.640000,-86.295000,0.000000,top
"R22","1.5K/1%","R_0201_0603Metric",121.200000,-88.695000,0.000000,top
"R23","1.5K/1%","R_0201_0603Metric",121.230000,-91.385000,0.000000,top
"R24","1.5K/1%","R_0201_0603Metric",122.580000,-95.045000,0.000000,top
"U1","ESP32-S3-MINI-1","ESP32-S2-MINI-1",103.905500,-85.910000,0.000000,top
"U5","AP2112K-3.3TRG1","AP2112K-3.3TRG1",95.855000,-104.975000,0.000000,top
